iter	Passed	Remaining
0	138	138117
1	139	69553
2	140	46708
3	141	35208
4	141	28249
5	142	23620
6	143	20329
7	143	17843
8	144	15894
9	144	14337
10	145	13069
11	145	12015
12	146	11115
13	146	10347
14	147	9682
15	148	9113
16	148	8608
17	149	8174
18	150	7779
19	151	7411
20	151	7082
21	153	6814
22	154	6544
23	154	6302
24	155	6070
25	156	5859
26	157	5662
27	157	5479
28	158	5305
29	159	5145
30	159	4997
31	160	4851
32	160	4717
33	161	4592
34	162	4473
35	162	4361
36	163	4256
37	164	4157
38	164	4060
39	165	3972
40	166	3885
41	166	3807
42	167	3730
43	168	3657
44	169	3590
45	169	3521
46	170	3454
47	170	3390
48	171	3329
49	172	3269
50	172	3212
51	173	3156
52	173	3103
53	174	3052
54	174	3002
55	175	2956
56	176	2913
57	176	2868
58	177	2826
59	177	2785
60	178	2745
61	178	2706
62	179	2668
63	179	2632
64	180	2596
65	181	2562
66	181	2531
67	182	2501
68	183	2470
69	183	2442
70	184	2412
71	185	2390
72	186	2363
73	187	2346
74	188	2322
75	189	2298
76	189	2274
77	190	2251
78	190	2226
79	191	2203
80	192	2180
81	192	2158
82	193	2133
83	193	2112
84	194	2091
85	194	2071
86	195	2050
87	195	2030
88	196	2010
89	197	1993
90	197	1977
91	198	1962
92	199	1944
93	199	1927
94	200	1910
95	201	1895
96	201	1879
97	202	1864
98	203	1848
99	203	1834
100	204	1819
101	205	1805
102	205	1790
103	206	1777
104	206	1764
105	207	1751
106	208	1738
107	208	1725
108	209	1713
109	210	1701
110	210	1689
111	211	1677
112	212	1666
113	213	1656
114	213	1646
115	214	1635
116	215	1627
117	216	1617
118	217	1606
119	217	1596
120	218	1585
121	218	1574
122	219	1563
123	219	1553
124	220	1543
125	221	1533
126	221	1523
127	222	1513
128	222	1503
129	223	1494
130	223	1484
131	224	1475
132	224	1466
133	225	1457
134	226	1448
135	226	1439
136	227	1432
137	228	1425
138	229	1419
139	229	1411
140	231	1407
141	231	1398
142	231	1390
143	232	1382
144	233	1376
145	234	1368
146	234	1361
147	235	1354
148	235	1346
149	236	1339
150	236	1332
151	237	1325
152	238	1317
153	238	1311
154	239	1305
155	240	1298
156	240	1292
157	241	1285
158	241	1279
159	242	1274
160	243	1268
161	244	1266
162	245	1261
163	246	1255
164	246	1249
165	247	1243
166	247	1236
167	248	1231
168	249	1225
169	249	1219
170	250	1213
171	250	1207
172	251	1202
173	252	1196
174	252	1191
175	253	1185
176	254	1181
177	254	1175
178	255	1170
179	255	1165
180	256	1160
181	257	1155
182	257	1150
183	258	1145
184	258	1140
185	259	1135
186	260	1132
187	261	1130
188	262	1126
189	263	1121
190	263	1117
191	264	1113
192	265	1108
193	265	1104
194	266	1099
195	267	1095
196	267	1090
197	268	1086
198	268	1082
199	269	1078
200	270	1073
201	270	1069
202	271	1064
203	271	1060
204	272	1056
205	272	1052
206	273	1047
207	274	1043
208	274	1039
209	275	1035
210	275	1031
211	276	1027
212	277	1023
213	277	1019
214	278	1015
215	278	1011
216	279	1007
217	279	1003
218	280	999
219	280	995
220	281	992
221	282	988
222	282	985
223	283	981
224	283	977
225	284	974
226	284	970
227	285	966
228	286	963
229	286	959
230	287	956
231	287	953
232	288	949
233	289	946
234	289	943
235	290	940
236	291	937
237	291	934
238	292	932
239	293	929
240	293	925
241	294	922
242	295	919
243	295	916
244	296	913
245	297	910
246	297	907
247	298	904
248	298	901
249	299	897
250	299	894
251	300	891
252	300	888
253	301	885
254	301	882
255	304	883
256	304	880
257	305	877
258	306	875
259	306	872
260	307	870
261	307	867
262	308	864
263	309	861
264	309	859
265	310	856
266	310	853
267	311	850
268	312	848
269	312	845
270	313	842
